,amplicon,mean,mean+2std,mean-2std,min
415,19-11230961-11231145-PGD139_LDLR_48,4241.679144385027,6776.114072174071,1707.2442165959828,2260
537,2-21240280-21240536-PGD139_APOB_90,4242.465240641711,5419.841515666236,3065.0889656171853,2979
217,1-55515704-55515929-PGD139_PCSK9_65,4246.641711229947,6219.216400084796,2274.0670223750976,722
641,2-21259230-21259429-PGD139_APOB_194,4248.8395721925135,5651.41161191301,2846.2675324720167,2782
133,1-25892066-25892340-PGD139_LDLRAP1_135,4258.79679144385,5931.769602784632,2585.823980103068,732
626,2-21256603-21256847-PGD139_APOB_179,4261.465240641711,5975.212129294458,2547.718351988964,2320
313,10-90983312-90983525-PGD139_LIPA_10,4280.818181818182,5556.5340282436755,3005.1023353926885,2516
636,2-21258408-21258655-PGD139_APOB_189,4284.4812834224595,5560.058122654332,3008.904444190587,2687
93,1-25885657-25885907-PGD139_LDLRAP1_95,4293.0,5632.502009856126,2953.4979901438737,1568
586,2-21248674-21248878-PGD139_APOB_139,4318.957219251337,6829.21340143011,1808.7010370725634,2082
710,8-19805791-19805990-PGD139_LPL_5,4326.368983957219,5808.115508941629,2844.622458972809,2762
618,2-21255201-21255451-PGD139_APOB_171,4337.411764705882,5647.360998673528,3027.4625307382357,2825
343,16-57004949-57005224-PGD139_CETP_12,4349.973262032086,6239.332992383439,2460.6135316807326,769
434,19-45408877-45409051-PGD139_APOE_1,4366.475935828877,5925.89765551273,2807.054216145023,2203
181,1-55509557-55509809-PGD139_PCSK9_29,4375.898395721925,5490.0164863095415,3261.780305134309,2421
279,1-55526265-55526524-PGD139_PCSK9_127,4383.770053475936,5513.038454120624,3254.501652831248,2270
525,2-21237623-21237871-PGD139_APOB_78,4395.288770053476,5711.977369895977,3078.6001702109743,1824
542,2-21241164-21241434-PGD139_APOB_95,4426.1122994652405,5680.913030264875,3171.3115686656065,2279
178,1-55509143-55509397-PGD139_PCSK9_26,4452.855614973262,5971.642192755573,2934.069037190951,2234
722,8-19813504-19813753-PGD139_LPL_17,4471.941176470588,6256.807186639643,2687.0751663015335,2439
340,16-57003737-57003979-PGD139_CETP_9,4472.732620320856,7880.015719961553,1065.4495206801585,426
292,1-55528525-55528800-PGD139_PCSK9_140,4498.941176470588,6348.439035396296,2649.4433175448803,959
371,19-11200359-11200506-PGD139_LDLR_4,4507.128342245989,6463.829444248041,2550.4272402439374,2032
386,19-11216942-11217216-PGD139_LDLR_19,4527.524064171123,6643.698034303248,2411.350094038999,1065
662,2-21262805-21263042-PGD139_APOB_215,4543.540106951872,5794.587207731794,3292.4930061719506,2428
628,2-21256977-21257223-PGD139_APOB_181,4567.0213903743315,6453.004593725109,2681.0381870235547,2693
61,1-25880485-25880758-PGD139_LDLRAP1_63,4592.946524064171,6069.875621344156,3116.0174267841862,1152
391,19-11217932-11218190-PGD139_LDLR_24,4612.882352941177,6641.6709602525025,2584.0937456298507,1131
592,2-21249908-21250158-PGD139_APOB_145,4647.994652406417,5980.480154311869,3315.509150500965,2277
357,16-57012096-57012334-PGD139_CETP_26,4661.534759358289,5828.08827636657,3494.981242350008,3184
433,19-11242044-11242264-PGD139_LDLR_66,4669.320855614973,5958.65830945075,3379.983401779197,2841
670,2-21264264-21264508-PGD139_APOB_223,4688.24064171123,6095.34082592387,3281.140457498589,2041
526,2-21237761-21238035-PGD139_APOB_79,4695.229946524064,6190.264229673245,3200.1956633748828,1611
570,2-21246055-21246300-PGD139_APOB_123,4728.716577540107,6481.79425205237,2975.6389030278438,2648
554,2-21243149-21243390-PGD139_APOB_107,4732.983957219251,6602.674593189224,2863.293321249279,2619
234,1-55518531-55518792-PGD139_PCSK9_82,4743.545454545455,6962.548923428933,2524.5419856619765,1000
296,1-55529129-55529331-PGD139_PCSK9_144,4761.155080213904,6516.252151956745,3006.058008471062,2942
560,2-21244234-21244501-PGD139_APOB_113,4786.582887700535,6241.474713596515,3331.691061804555,2371
385,19-11216261-11216511-PGD139_LDLR_18,4787.064171122995,7401.218271565251,2172.910070680738,364
32,1-25875713-25875978-PGD139_LDLRAP1_34,4788.989304812834,6546.533118663433,3031.4454909622355,767
419,19-11233751-11233933-PGD139_LDLR_52,4791.582887700535,6540.1424882494675,3043.0232871516027,3115
528,2-21238133-21238384-PGD139_APOB_81,4800.791443850268,6426.2057788940465,3175.3771088064886,2899
671,2-21264438-21264661-PGD139_APOB_224,4834.294117647059,6579.476332760102,3089.111902534015,3002
366,16-57017315-57017589-PGD139_CETP_35,4839.593582887701,7153.294714656069,2525.892451119333,603
694,4-68446887-68447118-PGD139_STAP1_9,4843.631016042781,6128.263322250607,3558.9987098349548,3234
173,1-55508576-55508825-PGD139_PCSK9_21,4847.860962566845,6258.644092795659,3437.0778323380314,3382
505,2-21234207-21234451-PGD139_APOB_58,4861.737967914439,6424.777935072647,3298.6980007562306,3354
704,4-68471884-68472114-PGD139_STAP1_19,4862.866310160428,7127.223864175434,2598.5087561454225,1747
683,2-21266188-21266446-PGD139_APOB_236,4867.304812834224,6807.224064150443,2927.3855615180055,1498
551,2-21242718-21242960-PGD139_APOB_104,4868.791443850268,6454.657354101507,3282.9255335990283,3058
230,1-55517984-55518251-PGD139_PCSK9_78,4872.679144385027,6357.144891290185,3388.2133974798685,1290
135,1-25892380-25892643-PGD139_LDLRAP1_137,4884.641711229947,6835.051577141799,2934.231845318095,795
193,1-55511678-55511951-PGD139_PCSK9_41,4906.844919786096,6476.934859697928,3336.754979874265,1667
